기준일,메이저금속지수
2015-05-01,1349.990296
2015-05-05,1367.356851
2015-05-06,1379.418986
2015-05-07,1393.717029
2015-05-08,1378.961445
2015-05-11,1381.956844
2015-05-12,1383.687623
2015-05-13,1388.967676
2015-05-14,1387.312192
2015-05-15,1376.830274
2015-05-18,1357.821931
2015-05-19,1353.023926
2015-05-20,1320.74708
2015-05-21,1302.748697
2015-05-22,1309.05417
2015-05-26,1313.006376
2015-05-27,1321.315034
2015-05-28,1316.367335
2015-05-29,1324.032619
2015-06-01,1315.16532
2015-06-02,1299.245723
2015-06-03,1314.072319
2015-06-04,1316.989999
2015-06-05,1317.997105
2015-06-08,1312.124445
2015-06-09,1312.347783
2015-06-10,1327.888779
2015-06-11,1339.164769
2015-06-12,1321.748085
2015-06-15,1311.593223
2015-06-16,1286.427457
2015-06-17,1278.583288
2015-06-18,1274.241293
2015-06-19,1279.305195
2015-06-22,1260.75103
2015-06-23,1251.152118
2015-06-24,1269.541488
2015-06-25,1282.8805
2015-06-26,1271.102619
2015-06-29,1269.313463
2015-06-30,1255.364052
2015-07-01,1242.606408
2015-07-02,1250.631314
2015-07-03,1239.389028
2015-07-06,1234.05575
2015-07-07,1192.95321
2015-07-08,1167.862745
2015-07-09,1125.39345
2015-07-10,1178.524156
2015-07-13,1184.89296
2015-07-14,1192.632596
2015-07-15,1182.834817
2015-07-16,1203.040914
2015-07-17,1192.704872
2015-07-20,1189.73513
2015-07-21,1190.863648
2015-07-22,1193.453616
2015-07-23,1174.172282
2015-07-24,1170.612616
2015-07-27,1155.751262
2015-07-28,1157.256486
2015-07-29,1172.202846
2015-07-30,1192.633089
2015-07-31,1181.86931
2015-08-03,1164.482381
2015-08-04,1165.666506
2015-08-05,1172.475886
2015-08-06,1173.420959
2015-08-07,1167.535806
2015-08-10,1163.911273
2015-08-11,1166.798016
2015-08-12,1161.816616
2015-08-13,1156.690518
2015-08-14,1163.142717
2015-08-17,1164.436642
2015-08-18,1155.400595
2015-08-19,1147.73406
2015-08-20,1144.080962
2015-08-21,1151.392438
2015-08-24,1143.095849
2015-08-25,1099.172836
2015-08-26,1123.226493
2015-08-27,1111.664581
2015-08-28,1123.977373
2015-09-01,1148.629134
2015-09-02,1161.200648
2015-09-03,1157.632932
2015-09-04,1176.965195
2015-09-07,1164.94865
2015-09-08,1165.452331
2015-09-09,1176.899535
2015-09-10,1197.386283
2015-09-11,1201.925225
2015-09-14,1198.071061
2015-09-15,1183.94174
2015-09-16,1174.061963
2015-09-17,1180.925297
2015-09-18,1182.610701
2015-09-21,1185.149653
2015-09-22,1171.907897
2015-09-23,1149.764925
2015-09-24,1145.605424
2015-09-25,1137.594781
2015-09-28,1152.507415
2015-09-29,1132.898761
2015-09-30,1137.877059
2015-10-01,1149.475251
2015-10-02,1160.743627
2015-10-05,1126.139724
2015-10-06,1130.531428
2015-10-07,1131.396971
2015-10-08,1144.87808
2015-10-09,1151.843565
2015-10-12,1189.440634
2015-10-13,1194.437934
2015-10-14,1167.063213
2015-10-15,1171.016993
2015-10-16,1171.37044
2015-10-19,1159.213157
2015-10-20,1151.884074
2015-10-21,1138.532196
2015-10-22,1133.29826
2015-10-23,1132.700962
2015-10-26,1134.836339
2015-10-27,1122.386984
2015-10-28,1121.238042
2015-10-29,1103.786046
2015-10-30,1101.89248
2015-11-02,1098.21823
2015-11-03,1096.35058
2015-11-04,1097.136886
2015-11-05,1099.860106
2015-11-06,1085.547005
2015-11-09,1082.566485
2015-11-10,1084.942739
2015-11-11,1074.323113
2015-11-12,1074.655375
2015-11-13,1064.277645
2015-11-16,1062.474161
2015-11-17,1053.281872
2015-11-18,1035.00487
2015-11-19,1031.849942
2015-11-20,1019.431016
2015-11-23,1033.28735
2015-11-24,1000.998247
2015-11-25,1003.743568
2015-11-26,1007.1637
2015-11-27,1029.789817
2015-11-30,1026.561447
2015-12-01,1008.950745
2015-12-02,1006.397101
2015-12-03,1001.509107
2015-12-04,993.7729929
2015-12-07,1007.382331
2015-12-08,998.0765294
2015-12-09,982.3753699
2015-12-10,997.7215723
2015-12-11,985.2431357
2015-12-14,996.774975
2015-12-15,994.8630307
2015-12-16,993.5769454
2015-12-17,990.297112
2015-12-18,987.672358
2015-12-21,1005.723182
2015-12-22,1013.443483
2015-12-23,1015.985652
2015-12-24,1021.254166
2015-12-29,1022.40463
2015-12-30,1032.24212
2015-12-31,1038.948271
2016-01-04,1040.395599
2016-01-05,1029.695233
2016-01-06,1022.631499
2016-01-07,1011.62429
2016-01-08,998.0465081
2016-01-11,999.2762549
2016-01-12,985.0278486
2016-01-13,976.8706042
2016-01-14,968.8664778
2016-01-15,979.033786
2016-01-18,978.510002
2016-01-19,994.9733204
2016-01-20,1006.92336
2016-01-21,984.8608072
2016-01-22,985.4707534
2016-01-25,1007.744113
2016-01-26,996.7938176
2016-01-27,998.9150387
2016-01-28,1015.981594
2016-01-29,1018.359092
2016-02-01,1020.288372
2016-02-02,1025.935636
2016-02-03,1041.220341
2016-02-04,1042.214986
2016-02-05,1061.58006
2016-02-08,1060.326742
2016-02-09,1043.000679
2016-02-10,1043.466261
2016-02-11,1042.887352
2016-02-12,1037.191024
2016-02-15,1039.174362
2016-02-16,1051.103328
2016-02-17,1059.250018
2016-02-18,1050.559299
2016-02-19,1056.959887
2016-02-22,1073.542646
2016-02-23,1107.097999
2016-02-24,1103.04698
2016-02-25,1090.165911
2016-02-26,1095.430061
2016-02-29,1085.512102
2016-03-01,1105.244062
2016-03-02,1111.750936
2016-03-03,1126.071552
2016-03-04,1126.848528
2016-03-07,1147.452656
2016-03-08,1214.294768
2016-03-09,1205.457612
2016-03-10,1166.671045
2016-03-11,1164.84077
2016-03-14,1158.331493
2016-03-15,1151.033148
2016-03-16,1121.475554
2016-03-17,1121.946691
2016-03-18,1148.203515
2016-03-21,1163.559456
2016-03-22,1163.59256
2016-03-23,1160.813031
2016-03-24,1156.868323
2016-03-29,1133.699569
